SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,RECRUIT_ORIGIN,RECRUIT_COUNT,DATE,SURVEY,Notes
Moorabool,Moorabool,Hunts Bridge,8,W,-1,-1 to 0,Rytidosperma spp.,native,3,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,8,A,0,0 to 1,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,8,B,1,1 to 2,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,8,C,2,2 to 3,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,7,W,-1,-1 to 0,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,7,A,0,0 to 1,Microlaena stipoides var. stipoides,native,3,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,7,A,0,0 to 1,Rubus anglocandicans,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,7,B,1,1 to 2,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,7,B,1,1 to 2,Anthoxanthum odoratum,exotic,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,7,C,2,2 to 3,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,6,W,-1,-1 to 0,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,6,A,0,0 to 1,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,6,B,1,1 to 2,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,6,C,2,2 to 3,Microlaena stipoides var. stipoides,native,3,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,6,D,3,3 to 4,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,5,W,-1,-1 to 0,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,5,A,0,0 to 1,Microlaena stipoides var. stipoides,native,5,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,5,B,1,1 to 2,Microlaena stipoides var. stipoides,native,3,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,5,C,2,2 to 3,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,4,W,-1,-1 to 0,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,4,A,0,0 to 1,Sonchus oleraceus,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,4,A,0,0 to 1,Hypochaeris radicata,exotic,5,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,4,A,0,0 to 1,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,4,B,1,1 to 2,Microlaena stipoides var. stipoides,native,2,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,4,C,2,2 to 3,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,3,W,-1,-1 to 0,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,3,A,0,0 to 1,Microlaena stipoides var. stipoides,native,3,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,3,B,1,1 to 2,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,2,W,-1,-1 to 0,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,2,A,0,0 to 1,Cirsium vulgare,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,2,B,1,1 to 2,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,2,C,2,2 to 3,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,1,W,-1,-1 to 0,Cirsium vulgare,exotic,1,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,1,A,0,0 to 1,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Hunts Bridge,1,B,1,1 to 2,Nil,NA,0,21/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,1,W,-1,-1 to 0,Eucalyptus camaldulensis subsp. camaldulensis,native,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,1,W,-1,-1 to 0,Cirsium vulgare,exotic,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,1,A,0,0 to 1,Cirsium vulgare,exotic,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,1,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,1,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,1,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,2,W,-1,-1 to 0,Cirsium vulgare,exotic,6,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,2,W,-1,-1 to 0,Alternanthera denticulata,native,7,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,2,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,2,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,2,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,2,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,3,W,-1,-1 to 0,Cirsium vulgare,exotic,3,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,3,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,3,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,4,W,-1,-1 to 0,Cirsium vulgare,exotic,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,4,W,-1,-1 to 0,Alternanthera denticulata,native,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,4,A,0,0 to 1,Cirsium vulgare,exotic,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,4,A,0,0 to 1,Alternanthera denticulata,native,2,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,4,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,4,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,4,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,5,W,-1,-1 to 0,Cirsium vulgare,exotic,4,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,5,W,-1,-1 to 0,Alternanthera denticulata,native,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,5,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,5,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,5,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,6,W,-1,-1 to 0,Dicot,NA,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,6,W,-1,-1 to 0,Alternanthera denticulata,native,5,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,6,A,0,0 to 1,Cirsium vulgare,exotic,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,6,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,6,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,6,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,7,W,-1,-1 to 0,Cirsium vulgare,exotic,4,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,7,W,-1,-1 to 0,Alternanthera denticulata,native,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,7,W,-1,-1 to 0,Symphyotrichum subulatum,exotic,2,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,7,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,7,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,7,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,7,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,8,W,-1,-1 to 0,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,8,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,8,B,1,1 to 2,Helminthotheca echioides,exotic,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,8,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,8,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,8,E,4,4 to 5,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,9,W,-1,-1 to 0,Plantago major,exotic,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,9,W,-1,-1 to 0,Rumex crispus,exotic,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,9,A,0,0 to 1,Plantago major,exotic,0,28/03/2018,3,Count is zero - check book 
Moorabool,Moorabool,Bakers Bridge,9,B,1,1 to 2,Cirsium vulgare,exotic,1,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,9,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,9,D,3,3 to 4,Helminthotheca echioides,exotic,3,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,W,-1,-1 to 0,Isolepis inundata,native,50 to 100,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,W,-1,-1 to 0,Lachnagrostis filiformis s.l.,native,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,A,0,0 to 1,Cirsium vulgare,exotic,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,A,0,0 to 1,Lachnagrostis filiformis s.l.,native,10_50,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,C,2,2 to 3,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,D,3,3 to 4,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,E,4,4 to 5,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,1,W,-1,-1 to 0,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,1,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,2,W,-1,-1 to 0,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,2,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,2,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,3,W,-1,-1 to 0,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,3,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,3,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,4,W,-1,-1 to 0,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,4,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,4,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,5,W,-1,-1 to 0,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,5,A,0,0 to 1,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sutherland Creek,5,B,1,1 to 2,Nil,NA,0,28/03/2018,3,
Moorabool,Moorabool,Sharps Rd,1,W,-1,-1 to 0,Monocot,NA,5,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,1,A,0,0 to 1,Monocot,NA,7,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,1,B,1,1 to 2,Dicot,NA,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,1,B,1,1 to 2,Monocot,NA,3,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,2,W,-1,-1 to 0,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,2,A,0,0 to 1,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,2,B,1,1 to 2,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,2,C,2,2 to 3,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,3,W,-1,-1 to 0,Cirsium vulgare,exotic,3,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,3,A,0,0 to 1,Monocot,NA,5,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,3,A,0,0 to 1,Senecio hispidulus,native,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,3,B,1,1 to 2,Dicot,NA,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,3,C,2,2 to 3,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,4,W,-1,-1 to 0,Dicot,NA,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,4,A,0,0 to 1,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,4,B,1,1 to 2,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,5,W,-1,-1 to 0,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,5,A,0,0 to 1,Sonchus oleraceus,exotic,2,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,5,B,1,1 to 2,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,5,C,2,2 to 3,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,5,D,3,3 to 4,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,6,W,-1,-1 to 0,Monocot,NA,2,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,6,A,0,0 to 1,Cirsium vulgare,exotic,3,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,6,B,1,1 to 2,Cirsium vulgare,exotic,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,7,W,-1,-1 to 0,Dicot,NA,2,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,7,W,-1,-1 to 0,Cirsium vulgare,exotic,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,7,A,0,0 to 1,Sonchus oleraceus,exotic,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,7,B,1,1 to 2,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,8,W,-1,-1 to 0,Dicot,NA,5,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,8,A,0,0 to 1,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,8,B,1,1 to 2,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,9,W,-1,-1 to 0,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,9,A,0,0 to 1,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,9,B,1,1 to 2,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,10,W,-1,-1 to 0,Dicot,NA,1,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,10,A,0,0 to 1,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,10,B,1,1 to 2,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Sharps Rd,10,C,2,2 to 3,Nil,NA,0,29/03/2018,3,
Moorabool,Moorabool,Bakers Bridge,10,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,10,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,10,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,10,C,2,2 to 3,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,10,D,3,3 to 4,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,10,E,4,4 to 5,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,9,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,9,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,9,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,9,C,2,2 to 3,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,9,D,3,3 to 4,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,A,0,0 to 1,Atriplex prostrata,exotic,3,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,B,1,1 to 2,Dicot,NA,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,C,2,2 to 3,Dicot,NA,3,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,C,2,2 to 3,Atriplex prostrata,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,D,3,3 to 4,Dicot,NA,2,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,D,3,3 to 4,Dicot,NA,5,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,8,E,4,4 to 5,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,7,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,7,A,0,0 to 1,Dicot,NA,3,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,7,B,1,1 to 2,Dicot,NA,3,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,7,C,2,2 to 3,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,6,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,6,A,0,0 to 1,Symphyotrichum subulatum,exotic,2,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,6,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,6,C,2,2 to 3,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,6,D,3,3 to 4,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,5,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Rorippa palustris,exotic,5,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,5,A,0,0 to 1,Lysimachia arvensis,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,5,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,5,C,2,2 to 3,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,4,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,4,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,4,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,4,C,2,2 to 3,Sonchus oleraceus,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,4,C,2,2 to 3,Rumex crispus,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,4,D,3,3 to 4,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,3,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,3,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,3,B,1,1 to 2,Dicot,NA,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,3,B,1,1 to 2,Poa annua,exotic,2,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,2,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,2,A,0,0 to 1,Sonchus oleraceus,exotic,2,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,2,B,1,1 to 2,Sonchus oleraceus,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,2,B,1,1 to 2,Sonchus asper s.l.,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,2,C,2,2 to 3,Poa annua,exotic,10_50,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,2,D,3,3 to 4,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,1,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,1,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,1,B,1,1 to 2,Dicot,NA,1,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,1,C,2,2 to 3,Poa annua,exotic,10_50,30/08/2017,1,
Moorabool,Moorabool,Bakers Bridge,1,D,3,3 to 4,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,1,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,1,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,1,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,2,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,2,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,2,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,3,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,3,A,0,0 to 1,Monocot grass,exotic,5,30/08/2017,1,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,3,B,1,1 to 2,Monocot grass,exotic,6,30/08/2017,1,Was Exotic grass
Moorabool,Moorabool,Sutherland Creek,4,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,4,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,4,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,5,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,5,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,5,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,6,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,6,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,6,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,7,W,-1,-1 to 0,Sonchus oleraceus,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,7,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,7,B,1,1 to 2,Sonchus asper s.l.,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,7,B,1,1 to 2,Brassica nigra,exotic,5,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,8,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,8,A,0,0 to 1,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,8,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,9,W,-1,-1 to 0,Lactuca serriola,exotic,1,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,9,A,0,0 to 1,Brassica nigra,exotic,10_50,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,9,B,1,1 to 2,Brassica nigra,exotic,10_50,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,9,C,2,2 to 3,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,10,W,-1,-1 to 0,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,10,A,0,0 to 1,Bromus diandrus,exotic,8,30/08/2017,1,
Moorabool,Moorabool,Sutherland Creek,10,A,0,0 to 1,Ehrharta longiflora,exotic,0,30/08/2017,1,Count is zero - check book 
Moorabool,Moorabool,Sutherland Creek,10,B,1,1 to 2,Nil,NA,0,30/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,W,-1,-1 to 0,Nil,NA,0,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,A,0,0 to 1,Trifolium glomeratum,exotic,1,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,A,0,0 to 1,Fumaria spp.,exotic,1,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,A,0,0 to 1,Cerastium glomeratum s.l.,exotic,1,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,A,0,0 to 1,Vulpia spp.,exotic,10_50,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,8,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,B,1,1 to 2,Vulpia spp.,exotic,10_50,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,1,B,1,1 to 2,Ehrharta erecta var. erecta,exotic,10_50,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,2,W,-1,-1 to 0,Microlaena stipoides var. stipoides,native,3,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,2,W,-1,-1 to 0,Ehrharta erecta var. erecta,exotic,2,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,2,W,-1,-1 to 0,Lobelia anceps,native,2,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,2,A,0,0 to 1,Ehrharta erecta var. erecta,exotic,10_50,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,2,B,1,1 to 2,Nil,NA,0,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,2,C,2,2 to 3,Nil,NA,0,31/08/2017,1,
Moorabool,Moorabool,Sharps Rd,3,W,-1,-1 to 0,Nil,NA,0,31/08/2017,1,
