SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Loddon,Loddon,Tullaroop Creek - Hood Street,4,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,4,C,2,2 to 3,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,2,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,2,A,0,0 to 1,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,2,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,A,0,0 to 1,Cirsium vulgare,exotic,2,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,A,0,0 to 1,Epilobium billardierianum subsp. billardierianum,native,2,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,A,0,0 to 1,Lolium perenne,exotic,25_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,A,0,0 to 1,Galium aparine,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,B,1,1 to 2,Cirsium vulgare,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,C,2,2 to 3,Cirsium vulgare,exotic,2,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,D,3,3 to 4,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,E,4,4 to 5,skipped,NA,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,F,5,5 to 6,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,G,6,6 to 7,skipped,NA,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,H,7,7 to 8,Stellaria media,#N/A,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,I,8,8 to 9,skipped,NA,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Hood Street,1,J,9,9 to 10,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,A,0,0 to 1,Lachnagrostis filiformis s.l.,native,5,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,A,0,0 to 1,Bolboschoenus medianus,native,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,B,1,1 to 2,Lachnagrostis filiformis s.l.,native,15,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,B,1,1 to 2,Lolium rigidum,exotic,5,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,B,1,1 to 2,Epilobium billardierianum subsp. billardierianum,native,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,B,1,1 to 2,Lythrum hyssopifolia,native,2,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,C,2,2 to 3,Eucalyptus camaldulensis var. camaldulensis,native,2,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,3,D,3,3 to 4,Eucalyptus camaldulensis var. camaldulensis,native,2,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,4,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,4,A,0,0 to 1,Lachnagrostis filiformis s.l.,native,3,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,4,A,0,0 to 1,Lolium rigidum,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,4,B,1,1 to 2,Lolium rigidum,exotic,5,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,4,B,1,1 to 2,Lepidium africanum,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,4,C,2,2 to 3,Lachnagrostis filiformis s.l.,native,10,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,5,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,5,A,0,0 to 1,Lachnagrostis filiformis s.l.,native,10,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,5,A,0,0 to 1,Lythrum hyssopifolia,native,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,5,B,1,1 to 2,Lachnagrostis filiformis s.l.,native,3,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,5,C,2,2 to 3,Eucalyptus camaldulensis var. camaldulensis,native,5,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,5,D,3,3 to 4,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,6,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,6,A,0,0 to1,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,6,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,7,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,7,A,0,0 to 1,Lythrum hyssopifolia,native,25+,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,7,B,1,1 to 2,Cirsium vulgare,exotic,3,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,7,B,1,1 to 2,Oxalis pes-caprae,exotic,10,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,7,B,1,1 to 2,Eucalyptus camaldulensis var. camaldulensis,native,9,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,2,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,2,A,0,0 to 1,Lachnagrostis filiformis s.l.,native,9,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,2,B,1,1 to 2,Lythrum hyssopifolia,native,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,2,B,1,1 to 2,Lolium rigidum,exotic,3,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,2,C,2,2 to 3,Rumex spp.,native,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,1,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,1,A,0,0 to 1,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,1,B,1,1 to 2,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,1,C,2,2 to 3,Oxalis pes-caprae,exotic,10+,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,1,D,3,3 to 4,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,1,E,4,4 to 5,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,10,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,10,A,0,0 to 1,Lolium,#N/A,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,10,B,1,1 to 2,Lolium,#N/A,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,10,B,1,1 to 2,Exo,exotic,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,10,C,2,2 to 3,Lolium/Exo,#N/A,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,9,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,9,A,0,0 to 1,Exo,exotic,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,9,B,1,1 to 2,Exo,exotic,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,9,C,2,2 to 3,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,W,-1, -1 to 0,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,A,0,0 to 1,Exo,exotic,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,B,1,1 to 2,Lachnagrostis filiformis s.l.,native,5,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,B,1,1 to 2,Lolium rigidum,exotic,6,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,B,1,1 to 2,Hypochaeris radicata,exotic,3,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,B,1,1 to 2,Lythrum hyssopifolia,native,10_50,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,C,2,2 to 3,Lythrum hyssopifolia,native,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,C,2,2 to 3,Lepidium africanum,exotic,1,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,C,2,2 to 3,Lolium rigidum,exotic,3,25/09/2017,1,0,
Loddon,Loddon,Tullaroop Creek - Mullins Road,8,D,3,3 to 4,Nil,#N/A,0,25/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,4,W,-1, -1 to 0,Nil,#N/A,0,26/09/2017,1,0,
Loddon,,Twelve Mile Creek - Canary Island Road,4,A,0,0 to 1,Ranunculus inundatus,native,1,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,4,A,0,0 to 1,Lythrum hyssopifolia,native,3,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,4,A,0,0 to 1,Alternanthera denticulata s.s.,native,3,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,4,A,0,0 to 1,Lolium rigidum,exotic,4,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,4,B,1,1 to 2,Lolium rigidum,exotic,5,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,4,C,2,2 to 3,Rumex brownii,native,5,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,2,W,-1, -1 to 0,Nil,#N/A,0,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,2,A,0,0 to 1,Centipeda cunninghamii,native,2,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,2,B,1,1 to 2,Mentha pulegium,exotic,50,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,2,C,2,2 to 3,Mentha pulegium,exotic,50,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,2,C,2,2 to 3,Lolium rigidum,exotic,25,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,5,W,-1, -1 to 0,Nil,#N/A,0,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,5,A,0,0 to 1,Cyperus eragrostis,exotic,10_50,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,5,B,1,1 to 2,Cyperus eragrostis,exotic,10_50,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,5,B,1,1 to 2,Oxalis perennans,native,10_50,26/09/2017,1,0,
Loddon,Loddon,Twelve Mile Creek - Canary Island Road,5,B,1,1 to 2,Epilobium spp.,#N/A,1,26/09/2017,1,0,
