SPECIES,GENUS,FAMILY,ORIGIN,LIFEFORM,CLASSIFICATION,INSTREAMVEG?,WPFG,WPFGSOURCE,GROUP,REC_GRP
Asteraceae spp.,unknown,Asteraceae,unknown,forb,Unknown,NO,Unknown,NA,Unknown,Unknown
Atriplex prostrata,Atriplex,Chenopodiaceae,exotic,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Austrocynoglossum latifolium,Austrocynoglossum,Boraginaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Austrostipa mollis,Austrostipa,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Austrostipa scabra,Austrostipa,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Austrostipa spp.,Austrostipa,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Avena barbata,Avena,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Avena fatua,Avena,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Avena spp.,Avena,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Azolla spp.,Azolla,Salviniaceae,native,fern,Aquatic,YES,NA,NA,Aquatic,Aquatic
Baloskion tetraphyllum subsp. tetraphyllum,Baloskion,Restionaceae,native,sedge/rush,Emergent,YES,ATe,assumed,Littoral,Riparian
Baumea arthrophylla,Baumea,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Emergent,Emergent
Baumea articulata,Baumea,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Emergent,Emergent
Baumea juncea,Baumea,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Emergent,Emergent
Baumea spp.,Baumea,Cyperaceae,native,sedge/rush,Emergent,YES,ATe,KM,Emergent,Emergent
Blechnum nudum,Blechnum,Blechnaceae,native,fern,Fringing_high,NO,ATe,KM,Littoral margin,Terrestrial
Bolboschoenus fluviatilis,Bolboschoenus,Cyperaceae,native,sedge/rush,Emergent,YES,Se,KM,Emergent,Emergent
Bolboschoenus medianus,Bolboschoenus,Cyperaceae,native,sedge/rush,Emergent,YES,ATl,assumed,Emergent,Emergent
Bolboschoenus spp.,Bolboschoenus,Cyperaceae,native,sedge/rush,Emergent,YES,NA,NA,Emergent,Emergent
Borago officinalis,Borago,Boraginaceae,exotic,forb,Terrestrial,NO,Tda,Vicflora - persisting often in moist sites,Terrestrial,Terrestrial
