SPECIES,GENUS,FAMILY,ORIGIN,LIFEFORM,CLASSIFICATION,INSTREAMVEG?,WPFG,WPFGSOURCE,GROUP,REC_GRP
Gynatrix pulchella s.l.,Gynatrix,Malvaceae,native,tree,Shrub,NO,Tdr or Tda?,CHECK.,Shrub,Terrestrial
Haloragis aspera,Haloragis,Haloragaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Haloragis heterophylla,Haloragis,Haloragaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Hedera helix,Hedera,Araliaceae,exotic,climber,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Heliotropium europaeum,Heliotropium,Boraginaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Helminthotheca echioides,Helminthotheca,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Hemarthria uncinata var. uncinata,Hemarthria,Poaceae,native,grass,Fringing_low,NO,Tda,KM,Littoral margin,Terrestrial
Holcus lanatus,Holcus,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Holcus spp.,Holcus,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Hordeum leporinum,Hordeum,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Hordeum marinum,Hordeum,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Hordeum spp.,Hordeum,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Hydrocotyle laxiflora,Hydrocotyle,Araliaceae,native,forb,NA,NO,ATl,KM,Terrestrial,Riparian
Hydrocotyle pterocarpa,Hydrocotyle,Araliaceae,native,forb,Fringing_low,NO,ATl,KM,Littoral,Riparian
Hydrocotyle sibthorpioides,Hydrocotyle,Araliaceae,native,forb,Fringing_high,NO,Tda,KM,Terrestrial,Terrestrial
Hypericum androsaemum,Hypericum,Hypericaceae,exotic,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Hypericum gramineum,Hypericum,Hypericaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Hypericum japonicum,Hypericum,Hypericaceae,native,forb,NA,NO,Tda,KM,Littoral,Terrestrial
Hypericum perforatum,Hypericum,Hypericaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Hypericum spp.,Hypericum,Hypericaceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Hypochaeris glabra,Hypochaeris,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Hypochaeris radicata,Hypochaeris,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Iris pseudacorus,Iris,Iridaceae,exotic,forb,Terrestrial,NO,Tdr,NA,Terrestrial,Terrestrial
Isachne globosa,Isachne,Poaceae,native,grass,Emergent,YES,ATe,KM,Littoral,Riparian
Isolepis cernua,Isolepis,Cyperaceae,native,sedge/rush,Fringing_low,NO,Atl,KM,Littoral,Riparian
Isolepis fluitans,Isolepis,Cyperaceae,native,sedge/rush,Aquatic,YES,Sk,KM,Aquatic,Aquatic
Isolepis hystrix,Isolepis,Cyperaceae,exotic,sedge/rush,Fringing_low,NO,ATe,KM,Littoral,Riparian
Isolepis inundata,Isolepis,Cyperaceae,native,sedge/rush,Fringing_low,NO,ATl,KM,Littoral,Riparian
Isolepis marginata,Isolepis,Cyperaceae,native,sedge/rush,NA,NO,ARp,KM,Littoral margin,Riparian
Isolepis platycarpa,Isolepis,Cyperaceae,native,sedge/rush,NA,NO,ARp,KM,Littoral,Riparian
Isolepis spp.,Isolepis,Cyperaceae,unknown,sedge/rush,Emergent,YES,ATe,Campbell 2014,Littoral,Riparian
Juncus acutus subsp. acutus,Juncus,Juncaceae,exotic,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Juncus amabilis,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Juncus aridicola,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,Campbell 2014,Littoral,Riparian
Juncus aridicola x flavidus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,assumed,Littoral,Riparian
Juncus articulatus subsp. articulatus,Juncus,Juncaceae,exotic,sedge/rush,Fringing_low,NO,ATe,assumed,Littoral,Riparian
Juncus bufonius,Juncus,Juncaceae,native,sedge/rush,Fringing_low,NO,Tda,KM,Littoral,Riparian
Juncus capitatus,Juncus,Juncaceae,exotic,sedge/rush,Fringing_low,NO,Tda,KM,Littoral,Riparian
Juncus gregiflorus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,assumed,Littoral,Riparian
Juncus holoschoenus,Juncus,Juncaceae,native,sedge/rush,Fringing_low,NO,ATe,KM,Littoral,Riparian
Juncus kraussii subsp. australiensis,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,assumed,Littoral,Riparian
Juncus pallidus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Juncus pauciflorus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Juncus planifolius,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Juncus prismatocarpus subsp. prismatocarpus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,assumed,Littoral,Riparian
Juncus procerus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,Tda,KM,Littoral,Riparian
Juncus spp.,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,Campbell 2014,Littoral,Riparian
Juncus subsecundus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,Tda,KM,Littoral,Riparian
Juncus usitatus,Juncus,Juncaceae,native,sedge/rush,Emergent,YES,ATe,KM,Littoral,Riparian
Kunzea ericoides spp. agg.,Kunzea,Myrtaceae,native,shrub,Shrub,NO,Tdr?,CHECK,Shrub,Terrestrial
Kunzea spp.,Kunzea,Myrtaceae,native,shrub,Shrub,NO,Tdr?,CHECK,Shrub,Terrestrial
Lachnagrostis filiformis s.l.,Lachnagrostis,Poaceae,native,grass,Fringing_low,NO,ATe,KM,Littoral,Riparian
Lactuca saligna,Lactuca,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Lactuca serriola,Lactuca,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Lactuca spp.,Lactuca,Asteraceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Lagurus ovatus,Lagurus,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Leersia oryzoides,Leersia,Poaceae,exotic,grass,NA,NO,NA,NA,Littoral,Riparian
Lemna disperma,Lemna,Araceae,native,forb,Aquatic,YES,Arf,KM,Aquatic,Aquatic
Leontodon saxatilis,Leontodon,Asteraceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Lepidium africanum,Lepidium,Brassicaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Lepidium draba,Lepidium,Brassicaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Lepidium pseudotasmanicum,Lepidium,Brassicaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Lepidosperma elatius,Lepidosperma,Cyperaceae,native,sedge/rush,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Lepidosperma filiforme,Lepidosperma,Cyperaceae,native,sedge/rush,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Lepidosperma laterale,Lepidosperma,Cyperaceae,native,sedge/rush,Fringing_high,NO,Tdr,KM,Littoral margin,Terrestrial
Lepidosperma longitudinale,Lepidosperma,Cyperaceae,native,sedge/rush,Fringing_high,NO,ATe,KM,Littoral margin,Riparian
Lepidosperma spp.,Lepidosperma,Cyperaceae,native,sedge/rush,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Althenia spp.,Althenia spp.,Potamogetonaceae,native,forb,Aquatic,YES,Sr,KM,Aquatic,Aquatic
Leptospermum continentale,Leptospermum,Myrtaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Leptospermum lanigerum,Leptospermum,Myrtaceae,native,shrub,Shrub,NO,ATw,KM,Shrub,Riparian
Leptospermum obovatum,Leptospermum,Myrtaceae,native,shrub,Shrub,NO,ATw,assumed,Shrub,Riparian
Leptospermum obvatum,Leptospermum,Myrtaceae,native,shrub,Shrub,NO,NA,NA,Shrub,Riparian
Ligustrum spp.,Ligustrum,Oleaceae,exotic,tree,Tree,NO,NA,NA,Tree,Terrestrial
Lilaeopsis polyantha,Lilaeopsis,Apiaceae,native,forb,Fringing_low,YES,ATl,KM,Littoral,Riparian
Lobelia anceps,Lobelia,Campanulaceae,native,forb,Fringing_low,NO,Tda,KM,Littoral,Terrestrial
Lobelia beaugleholei,Lobelia,Campanulaceae,native,forb,NA,NO,NA,NA,Littoral,Terrestrial
Lobelia pedunculata s.l.,Lobelia,Campanulaceae,native,forb,Fringing_low,NO,Tdr,KM,Littoral,Terrestrial
Lobelia pratioides,Lobelia,Campanulaceae,native,forb,Fringing_low,NO,ATl,KM,Littoral,Riparian
Lolium perenne,Lolium,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Lolium rigidum,Lolium,Poaceae,exotic,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Lolium spp.,Lolium,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Lomandra filiformis subsp. coriacea,Lomandra,Asparagaceae,native,sedge/rush,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Lomandra longifolia,Lomandra,Asparagaceae,native,sedge/rush,Fringing_high,NO,Tdr,KM,Littoral margin,Terrestrial
Lomatia fraseri,Lomatia,Proteaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Lomatia myricoides,Lomatia,Proteaceae,native,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Lonicera japonica,Lonicera,Caprifoliaceae,exotic,climber,Terrestrial,NO,Tda?,Check,Terrestrial,Terrestrial
Lotus corniculatus,Lotus,Fabaceae,exotic,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Lotus spp.,Lotus,Fabaceae,exotic,forb,NA,NO,NA,NA,Terrestrial,Terrestrial
Ludwigia palustris,Ludwigia,Onagraceae,exotic,forb,Emergent,YES,ARp,CHECK,Littoral,Riparian
Ludwigia spp.,Ludwigia,Onagraceae,unknown,forb,NA,NO,NA,NA,Littoral,Riparian
Lycopus australis,Lycopus,Lamiaceae,native,forb,Fringing_high,NO,ATe,KM,Littoral,Riparian
Lysimachia arvensis,Lysimachia,Primulaceae,exotic,forb,NA,NO,ATl,KM,Terrestrial,Riparian
Lythrum hyssopifolia,Lythrum,Lythraceae,native,forb,Fringing_low,NO,Tda,Campbell 2014,Littoral,Terrestrial
Lythrum salicaria,Lythrum,Lythraceae,native,forb,Fringing_low,NO,ATe,KM,Littoral,Riparian
Malva spp.,Malva,Malvaceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Malva parviflora,Malva,Malvaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Marrubium vulgare,Marrubium,Lamiaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Medicago polymorpha,Medicago,Fabaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Medicago spp.,Medicago,Fabaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Melaleuca decussata,Melaleuca,Myrtaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Melaleuca ericifolia,Melaleuca,Myrtaceae,native,shrub,Shrub,NO,ATw,KM,Shrub,Riparian
Melaleuca spp.,Melaleuca,Myrtaceae,native,shrub,Shrub,NO,Unknown,NA,Shrub,Terrestrial
Melicytus dentatus s.l.,Melicytus,Violaceae,native,shrub,Shrub,NO,Tdr,assumed,Shrub,Terrestrial
Mentha australis,Mentha,Lamiaceae,native,forb,Fringing_high,NO,Tda,Campbell 2014,Littoral margin,Terrestrial
Mentha pulegium,Mentha,Lamiaceae,exotic,forb,Fringing_high,NO,ATe,KM,Littoral margin,Riparian
Mentha spp.,Mentha,Lamiaceae,unknown,forb,Fringing_high,NO,Unknown,NA,Littoral margin,Riparian
Microlaena stipoides var. stipoides,Microlaena,Poaceae,native,grass,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Thyridia repens,Thyridia,Phrymaceae,exotic,forb,Fringing_low,NO,ATl,KM,Littoral,Riparian
Modiola caroliniana,Modiola,Malvaceae,exotic,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Modiola spp.,Modiola,Malvaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Moenchia erecta,Moenchia,Caryophyllaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Monocot,unknown,unknown,unknown,unknown,NA,NO,NA,NA,Unknown,Unknown
Monocot grass exotic,unknown,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Monocot grass,unknown,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Monocot sedge/rush,unknown,unknown,unknown,sedge/rush,NA,NO,NA,NA,Littoral,Riparian
Montia australasica,Montia,Montiaceae,native,forb,Fringing_low,NO,ATe,KM,Littoral,Riparian
Montia spp.,Montia,Montiaceae,native,forb,Fringing_low,NO,Unknown,NA,Littoral,Riparian
Moraea flaccida,Moraea,Iridaceae,exotic,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Moraea lewisiae,Moraea,Iridaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Muehlenbeckia florulenta,Muehlenbeckia,Polygonaceae,native,shrub,Shrub,NO,ATe,Campbell 2014,Shrub,Riparian
Myoporum insulare,Myoporum,Scrophulariaceae,native,shrub,Shrub,NO,ATl,KM,Shrub,Riparian
Myosotis arvensis,Myosotis,Boraginaceae,exotic,forb,Fringing_low,NO,NA,NA,Littoral margin,Riparian
Myosotis laxa,Myosotis,Boraginaceae,exotic,forb,Fringing_low,NO,NA,NA,Littoral margin,Riparian
Myosotis spp.,Myosotis,Boraginaceae,exotic,forb,Fringing_low,NO,Unknown,NA,Littoral margin,Riparian
Myriophyllum amphibium,Myriophyllum,Haloragaceae,native,forb,Aquatic,YES,ARp,KM,Aquatic,Aquatic
Myriophyllum simulans,Myriophyllum,Haloragaceae,native,forb,Aquatic,YES,ARp,KM,Aquatic,Aquatic
Myriophyllum spp.,Myriophyllum,Haloragaceae,native,forb,Aquatic,YES,ARp,Campbell 2014,Aquatic,Aquatic
Myriophyllum variifolium,Myriophyllum,Haloragaceae,native,forb,Aquatic,YES,ARp,KM,Aquatic,Aquatic
Myriophyllum salsugineum,Myriophyllum,Haloragaceae,native,forb,Aquatic,YES,ARp,KM,Aquatic,Aquatic
Nassella neesiana,Nassella,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Nassella spp.,Nassella,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Nitella sp.,Nitella,Characeae,native,algae,Aquatic,YES,NA,NA,Aquatic,Aquatic
Olearia lirata,Olearia,Asteraceae,native,shrub,Shrub,NO,Tda?,"Vicflora - common in moist forest/scrub, but highly plastic and in drier environments so maybe Tdr?",Shrub,Terrestrial
Opercularia varia,Opercularia,Rubiaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Ornduffia reniformis,Ornduffia,Menyanthaceae,native,forb,Aquatic,YES,ARf,KM,Aquatic,Aquatic
Ottelia ovalifolia subsp. ovalifolia,Ottelia,Hydrocharitaceae,native,forb,Aquatic,YES,ARp,Campbell 2014,Aquatic,Aquatic
Oxalis corniculata,Oxalis,Oxalidaceae,exotic,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Oxalis exilis,Oxalis,Oxalidaceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Oxalis incarnata,Oxalis,Oxalidaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Oxalis perennans,Oxalis,Oxalidaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Oxalis pes-caprae,Oxalis,Oxalidaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Oxalis spp.,Oxalis,Oxalidaceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Ozothamnus ferrugineus,Ozothamnus,Asteraceae,native,shrub,Shrub,NO,Tdr or Tda?,NA,Shrub,Terrestrial
Pandorea pandorana,Pandorea,Bignoniaceae,native,climber,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Panicum coloratum,Panicum,Poaceae,exotic,grass,Fringing_high,NO,Tda?,assumed,Littoral margin,Terrestrial
Panicum spp.,Panicum,Poaceae,native,grass,Fringing_low,NO,NA,NA,Littoral margin,Terrestrial
Paspalidium jubiflorum,Paspalidium,Poaceae,native,grass,Fringing_high,NO,Tda,Campbell 2014,Littoral margin,Terrestrial
Paspalidium spp.,Paspalidium,Poaceae,native,grass,Fringing_high,NO,Tda,assumed,Littoral margin,Terrestrial
Paspalum dilatatum,Paspalum,Poaceae,exotic,grass,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Paspalum distichum,Paspalum,Poaceae,exotic,grass,Fringing_low,NO,ATe,Campbell 2014,Littoral,Riparian
Pelargonium australe,Pelargonium,Geraniaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Pentameris airoides subsp. airoides,Pentameris,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Persicaria decipiens,Persicaria,Polygonaceae,native,forb,Emergent,YES,ATe,Campbell 2014,Littoral,Riparian
Persicaria hydropiper,Persicaria,Polygonaceae,native,forb,Emergent,YES,ATe,KM,Littoral,Riparian
Persicaria lapathifolia,Persicaria,Polygonaceae,native,forb,Emergent,YES,ATe,Campbell 2014,Littoral,Riparian
Persicaria praetermissa,Persicaria,Polygonaceae,native,forb,Emergent,NO,ATl,"CHECK (low growing, scrambling)",Littoral,Riparian
Persicaria prostrata,Persicaria,Polygonaceae,native,forb,Emergent,NO,ATl,Campbell 2014,Littoral,Riparian
Persicaria spp.,Persicaria,Polygonaceae,native,forb,Emergent,YES,ATe,Campbell 2014,Littoral,Riparian
Persicaria subsessilis,Persicaria,Polygonaceae,native,forb,Emergent,YES,ATe,assumed but CHECK,Littoral,Riparian
Phalaris aquatica,Phalaris,Poaceae,exotic,grass,Fringing_high,NO,Tdr,KM,Littoral margin,Terrestrial
Phalaris arundinacea,Phalaris,Poaceae,exotic,grass,Emergent,YES,ATe,KM,Emergent,Riparian
Phalaris spp.,Phalaris,Poaceae,exotic,grass,Unknown,NO,NA,NA,Terrestrial,Terrestrial
Phragmites australis,Phragmites,Poaceae,native,grass,Emergent,YES,ATe,KM,Emergent,Emergent
Phyla canescens,Phyla,Verbenaceae,exotic,forb,Fringing_high,NO,Tda,Campbell 2014,Littoral margin,Terrestrial
Pittosporum undulatum,Pittosporum,Pittosporaceae,native,shrub,Tree,NO,NA,NA,Tree,Terrestrial
Plantago bellardii,Plantago,Plantaginaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Plantago coronopus,Plantago,Plantaginaceae,exotic,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Plantago lanceolata,Plantago,Plantaginaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Plantago major,Plantago,Plantaginaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Plantago spp.,Plantago,Plantaginaceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Platylobium parviflorum,Platylobium,Fabaceae,native,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Platylobium spp.,Platylobium,Fabaceae,native,shrub,Shrub,NO,Tdr,assumed,Shrub,Terrestrial
Poa annua,Poa,Poaceae,exotic,grass,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Poa bulbosa,Poa,Poaceae,exotic,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Poa ensiformis,Poa,Poaceae,native,grass,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Poa fordeana,Poa,Poaceae,native,grass,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Poa labillardierei var. labillardierei,Poa,Poaceae,native,grass,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Poa sieberiana,Poa,Poaceae,native,grass,Fringing_high,NO,Tdr,KM,Littoral margin,Terrestrial
Poa spp.,Poa,Poaceae,native,grass,Fringing_high,NO,Tda,assumed,Littoral margin,Terrestrial
Polycarpon tetraphyllum,Polycarpon,Caryophyllaceae,exotic,forb,NA,NO,Tda,KM,Terrestrial,Terrestrial
Polygonum aviculare,Polygonum,Polygonaceae,exotic,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Polypogon monspeliensis,Polypogon,Poaceae,exotic,grass,Fringing_low,NO,ATe,KM,Littoral margin,Riparian
Polystichum proliferum,Polystichum,Dryopteridaceae,native,fern,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Pomaderris aspera,Pomaderris,Rhamnaceae,native,shrub,Shrub,NO,Tdr,assumed,Shrub,Terrestrial
Portulaca oleracea,Portulaca,Portulacaceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Potamogeton cheesemanii,Potamogeton,Potamogetonaceae,native,forb,Aquatic,YES,ARf,KM,Aquatic,Aquatic
Potamogeton crispus,Potamogeton,Potamogetonaceae,native,forb,Aquatic,YES,ARp,KM,Aquatic,Aquatic
Potamogeton ochreatus,Potamogeton,Potamogetonaceae,native,forb,Aquatic,YES,Sk,KM,Aquatic,Aquatic
Potamogeton spp.,Potamogeton,Potamogetonaceae,native,forb,Aquatic,YES,Unknown,NA,Aquatic,Aquatic
Potamogeton sulcatus,Potamogeton,Potamogetonaceae,native,forb,Aquatic,YES,ARp,Campbell 2014,Aquatic,Aquatic
Potentilla indica,Potentilla,Rosaceae,exotic,forb,Terrestrial,NO,Tda?,CHECK,Terrestrial,Terrestrial
Prostanthera lasianthos,Prostanthera,Lamiaceae,native,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Prunella vulgaris,Prunella,Lamiaceae,exotic,forb,Fringing_low,NO,Tda,KM,Littoral,Terrestrial
Prunus spp.,Prunus,Rosaceae,exotic,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Laphangium luteoalbum,Laphangium,Asteraceae,native,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Pteridium esculentum,Pteridium,Dennstaedtiaceae,native,fern,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial
Pultenaea forsythiana,Pultenaea,Fabaceae,native,shrub,Shrub,NO,Tdr,assumed,Shrub,Terrestrial
Ranunculus amphitrichus,Ranunculus,Ranunculaceae,native,forb,Aquatic,YES,ARf,KM,Aquatic,Aquatic
Ranunculus inundatus,Ranunculus,Ranunculaceae,native,forb,Aquatic,YES,ARf,NA,Aquatic,Aquatic
Ranunculus muricatus,Ranunculus,Ranunculaceae,exotic,forb,Fringing_low,NO,ATe,KM,Littoral,Riparian
Ranunculus pumilio,Ranunculus,Ranunculaceae,native,forb,Fringing_low,NO,Tda?,check,Littoral,Riparian
Ranunculus repens,Ranunculus,Ranunculaceae,exotic,forb,Fringing_low,NO,ATe,KM,Littoral,Riparian
Ranunculus sceleratus subsp. sceleratus,Ranunculus,Ranunculaceae,exotic,forb,Fringing_low,NO,ATe,KM,Littoral,Riparian
Ranunculus sessiliflorus,Ranunculus,Ranunculaceae,native,forb,NA,NO,Tda,KM,Littoral,Riparian
Ranunculus undosus,Ranunculus,Ranunculaceae,native,forb,Emergent,YES,Ate,KM,Littoral,Riparian
Myrsine howittiana,Rapanea,Primulaceae,native,tree,Tree,NO,NA,NA,Tree,Terrestrial
Raphanus raphanistrum,Raphanus,Brassicaceae,exotic,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Romulea rosea,Romulea,Iridaceae,exotic,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Rorippa laciniata,Rorippa,Brassicaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Rorippa palustris,Rorippa,Brassicaceae,exotic,forb,Fringing_low,NO,Tda,KM,Littoral margin,Terrestrial
Rorippa spp.,Rorippa,Brassicaceae,unknown,forb,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial
Rosa rubiginosa,Rosa,Rosaceae,exotic,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Rubus anglocandicans,Rubus,Rosaceae,exotic,shrub,Shrub,NO,Tda,KM,Shrub,Terrestrial
Rubus parvifolius,Rubus,Rosaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial
Rubus spp.,Rubus,Rosaceae,unknown,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial
Rumex bidens,Rumex,Polygonaceae,native,forb,Fringing_low,NO,ARp,KM,Littoral,Riparian
Rumex brownii,Rumex,Polygonaceae,native,forb,Fringing_high,NO,Tda,Campbell 2014,Littoral margin,Terrestrial
Rumex conglomeratus,Rumex,Polygonaceae,exotic,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Rumex crispus,Rumex,Polygonaceae,exotic,forb,Fringing_high,NO,ARp,KM,Littoral margin,Terrestrial
Rumex pulcher,Rumex,Polygonaceae,exotic,forb,Fringing_high,NO,Tda,NA,Littoral margin,Terrestrial
Rumex spp.,Rumex,Polygonaceae,unknown,forb,Fringing_high,NO,Tda,Campbell 2014,Littoral margin,Terrestrial
Rumex tenax,Rumex,Polygonaceae,native,forb,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial
Ruppia spp.,Ruppia,Ruppiaceae,native,forb,Aquatic,YES,NA,NA,Aquatic,Aquatic
Rytidosperma caespitosum,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Rytidosperma duttonianum,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Rytidosperma fulvum,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Rytidosperma geniculatum,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Rytidosperma penicillatum,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Rytidosperma racemosum var. racemosum,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial
Rytidosperma setaceum,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Rytidosperma spp.,Rytidosperma,Poaceae,native,grass,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial
Salix cinerea,Salix,Salicaceae,exotic,tree,Tree,NO,ATw,assumed,Tree,Terrestrial
