SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,METRES.1,SPECIES,ORIGIN,COUNT,DATE,SURVEY,EXCLOSURE,Notes
Wimmera,Burnt,Peuckers,1,B,1,1 to 2,Lolium spp.,NA,10_50,13/09/2018,4,0,Chris: there is Ehrharta long 10_50 listed in 0 to 1 with a note to say 'old' so I have not included it (LV)
Wimmera,Burnt,Peuckers,1,C,2,2 to 3,Lolium spp.,NA,10_50,13/09/2018,4,0,
Wimmera,Burnt,Peuckers,2,W,-1, -1 to 0,Nil,NA,0,13/09/2018,4,0,
Wimmera,Burnt,Peuckers,2,A,0,0 to 1,Juncus amabilis,NA,3,13/09/2018,4,0,
Wimmera,Burnt,Peuckers,2,A,0,0 to 1,Sonchus oleraceus,NA,2,13/09/2018,4,0,
Wimmera,Burnt,Peuckers,2,A,0,0 to 1,Hypochaeris radicata,NA,1,13/09/2018,4,0,
Wimmera,Burnt,Peuckers,2,B,1,1 to 2,Sonchus oleraceus,NA,1,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,1,W,-1, -1 to 0,Nil,NA,0,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,1,A,0,0 to 1,Trifolium arvense var. arvense,NA,10_50,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,1,A,0,0 to 1,Hypochaeris radicata,NA,1,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,1,B,1,1 to 2,Trifolium spp.,NA,5,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,2,W,-1, -1 to 0,Hypochaeris radicata,NA,4,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,2,A,0,0 to 1,Nil,NA,0,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,2,B,1,1 to 2,Nil,NA,0,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,5,W,-1, -1 to 0,Hypochaeris glabra,NA,5,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,5,W,-1, -1 to 0,Crassula decumbens var. decumbens,NA,3,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,5,A,0,0 to 1,Hypochaeris glabra,NA,4,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,5,B,1,1 to 2,Hypochaeris glabra,NA,6,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,5,B,1,1 to 2,Sonchus oleraceus,NA,2,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,5,C,2,2 to 3,Trifolium spp.,NA,5,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,W,-1, -1 to 0,Gladiolus spp.,NA,3,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,A,0,0 to 1,Hypochaeris radicata,NA,2,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,A,0,0 to 1,Gladiolus spp.,NA,3,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,A,0,0 to 1,Monocot,NA,9,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,A,0,0 to 1,Crassula decumbens var. decumbens,NA,10_50,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,B,1,1 to 2,Crassula decumbens var. decumbens,NA,10_50,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,B,1,1 to 2,Monocot,NA,10_50,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,B,1,1 to 2,Gladiolus spp.,NA,4,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,3,B,1,1 to 2,Hypochaeris radicata,NA,3,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,W,-1, -1 to 0,Holcus lanatus,NA,5,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,W,-1, -1 to 0,Gladiolus spp.,NA,5,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,A,0,0 to 1,Holcus lanatus,NA,10_50,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,A,0,0 to 1,Asparagus asparagoides,NA,2,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,A,0,0 to 1,Gladiolus spp.,NA,5,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,A,0,0 to 1,Ehrharta calycina,NA,8,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,A,0,0 to 1,Ranunculus pumilio,NA,2,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,B,1,1 to 2,Holcus lanatus,NA,10_50,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,B,1,1 to 2,Hypochaeris radicata,NA,3,13/09/2018,4,0,
Wimmera,Burnt,WonwondahGauge,4,B,1,1 to 2,Ehrharta calycina,NA,3,13/09/2018,4,0,
