SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,SPECIES,ORIGIN,HITS,HEIGHT,DATE,SURVEY,EXCLOSURE,NOTES
Loddon,Tullaroop,Hood,10,W,-1,Water,ground,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,W,-1,Bolboschoenus medianus,native,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,A,0,Bare,ground,10,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,A,0,Bare,ground,29,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,A,0,Bolboschoenus medianus,native,7,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,A,0,Cynodon dactylon var. dactylon,exotic,10,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,B,1,Bare,ground,9,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,B,1,Litter,ground,31,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,B,1,Cynodon dactylon var. dactylon,exotic,29,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,B,1,Bolboschoenus medianus,native,1,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,B,1,Dactylis glomerata,exotic,5,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Litter,ground,4,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Bare,ground,36,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Cynodon dactylon var. dactylon,exotic,28,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Oxalis pes-caprae,exotic,18,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Plantago lanceolata,exotic,5,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Dactylis glomerata,exotic,1,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Cirsium vulgare,exotic,5,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,C,2,Bromus catharticus,exotic,2,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,D,3,Litter,ground,38,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,D,3,Bare,ground,2,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,D,3,Oxalis pes-caprae,exotic,15,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,D,3,Lepidium draba,exotic,9,0_1m,25/09/2017,1,0,Not in species master
Loddon,Tullaroop,Hood,10,D,3,Galium aparine,exotic,2,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,D,3,Phalaris aquatica,exotic,5,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,D,3,Cynodon dactylon var. dactylon,exotic,11,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,10,D,3,Bromus catharticus,exotic,7,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,W,-1,Schoenoplectus tabernaemontani,native,37,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,W,-1,Water,ground,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,A,0,Bare,ground,28,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,A,0,Litter,ground,10,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,A,0,Schoenoplectus tabernaemontani,native,5,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,A,0,Water,ground,2,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,A,0,Cynodon dactylon var. dactylon,exotic,4,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,B,1,Cynodon dactylon var. dactylon,exotic,12,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,B,1,Litter,ground,24,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,B,1,Eucalyptus camaldulensis subsp. camaldulensis,native,1,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,B,1,Juncus spp.,native,1,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,B,1,Cyperus eragrostis,exotic,2,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,B,1,Bare,ground,16,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,C,2,Cynodon dactylon var. dactylon,exotic,33,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,C,2,Cyperus eragrostis,exotic,14,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,C,2,Rumex crispus,exotic,1,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,C,2,Romulea rosea,exotic,2,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,C,2,Allium vineale,#N/A,14,0_1m,25/09/2017,1,0,Not in species master
Loddon,Tullaroop,Hood,9,C,2,Hypochaeris radicata,exotic,7,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,C,2,Bare,ground,9,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,C,2,Litter,ground,31,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,D,3,Bare,ground,3,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,D,3,Romulea rosea,exotic,13,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,D,3,Cynodon dactylon var. dactylon,exotic,26,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,D,3,Allium vineale,#N/A,28,0_1m,25/09/2017,1,0,Not in species master
Loddon,Tullaroop,Hood,9,D,3,Paspalum dilatatum,exotic,6,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,D,3,Holcus lanatus,exotic,7,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,D,3,Hemarthria uncinata var. uncinata,native,5,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,9,D,3,Litter,ground,37,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,W,-1,Water,ground,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,W,-1,Phragmites australis,native,12,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,A,0,Phragmites australis,native,37,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,A,0,Bare,ground,20,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,A,0,Litter,ground,20,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,B,1,Cynodon dactylon var. dactylon,exotic,16,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,B,1,Bromus catharticus,exotic,6,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,B,1,Bare,ground,4,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,B,1,Phragmites australis,native,20,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,B,1,Oxalis pes-caprae,exotic,1,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,B,1,Litter,ground,36,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,C,2,Bromus diandrus,exotic,9,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,C,2,Cynodon dactylon var. dactylon,exotic,34,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,C,2,Phragmites australis,native,15,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,C,2,Galium aparine,exotic,4,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,6,C,2,Litter,ground,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,W,-1,Water,ground,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,A,0,Juncus usitatus,native,21,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,A,0,Litter,ground,19,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,A,0,Bare,ground,21,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,A,0,Agrostis stolonifera,exotic,7,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,A,0,Acacia provincialis,#,7,1_5m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,B,1,Cynodon dactylon var. dactylon,exotic,10,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,B,1,Acacia provincialis,#,11,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,B,1,Juncus usitatus,native,23,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,B,1,Bare,ground,3,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,B,1,Cyperus eragrostis,exotic,1,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,B,1,Litter,ground,37,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,C,2,Cynodon dactylon var. dactylon,exotic,18,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,C,2,Bare,ground,5,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,C,2,Cyperus eragrostis,exotic,4,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,C,2,Hypochaeris radicata,exotic,2,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,C,2,Juncus usitatus,native,10,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,C,2,Litter,ground,35,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,D,3,Cynodon dactylon var. dactylon,exotic,22,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,D,3,Hypochaeris radicata,exotic,16,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,D,3,Juncus usitatus,native,3,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,3,D,3,Litter,ground,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,8,W,-1,Water,ground,40,0_1m,25/09/2017,1,0,
Loddon,Tullaroop,Hood,8,W,-1,Bolboschoenus medianus,native,1,0_1m,25/09/2017,1,0,
