SYSTEM,WATERWAY,SITE,REACH,TRANSECT,GRAZING,SHEEP_CATTLE,EXCLOSURE,EXC_INSTALL,SOIL_MOISTURE,FLOW_LOGGER,SPRINGFRESH_m_AHD,BASEFLOW_m_AHD
Yarra,Yarra,Tarrawarra,TBC,3,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,4,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,5,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,6,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,7,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,8,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,US_out,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,US_in,N,NA,Y,2018,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,9,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,10,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,DS_out,Y,C,N,NA,N,N,71.9,70
Yarra,Yarra,Tarrawarra,TBC,DS_in,N,NA,Y,2018,N,N,71.9,70
Yarra,Yarra,Warrandyte,TBC,1,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,2,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,3,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,4,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,5,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,6,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,7,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,8,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,9,N,NA,N,NA,N,N,25.33,24.83
Yarra,Yarra,Warrandyte,TBC,10,N,NA,N,NA,N,N,25.33,24.83
Yarra,Watts,Watts,TBC,1,N,NA,N,NA,N,N,75.94,74.83
Yarra,Watts,Watts,TBC,2,N,NA,N,NA,N,N,75.94,74.83
Yarra,Watts,Watts,TBC,3,N,NA,N,NA,N,N,75.94,74.83
Yarra,Watts,Watts,TBC,4,N,NA,N,NA,N,N,75.94,74.83
Yarra,Watts,Watts,TBC,5,N,NA,N,NA,N,N,75.94,74.83
