species_master,genus,family,origin,lifeform,classification,instreamveg,wpfg,wpfgsource,group,rec_grp,species_veg_data
Poa ensiformis,Poa,Poaceae,native,grass,Fringing_high,NO,NA,NA,Littoral margin,Terrestrial,Poa
Poa fordeana,Poa,Poaceae,native,grass,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial,Poa
Poa labillardierei var. labillardierei,Poa,Poaceae,native,grass,Fringing_high,NO,Tda,KM,Littoral margin,Terrestrial,Poa
Poa sieberiana,Poa,Poaceae,native,grass,Fringing_high,NO,Tdr,KM,Littoral margin,Terrestrial,Poa
Poa spp.,Poa,Poaceae,native,grass,Fringing_high,NO,Tda,assumed,Littoral margin,Terrestrial,Poa
Rubus anglocandicans,Rubus,Rosaceae,exotic,shrub,Shrub,NO,Tda,KM,Shrub,Terrestrial,Rubus
Rubus parvifolius,Rubus,Rosaceae,native,shrub,Shrub,NO,Tdr,KM,Shrub,Terrestrial,Rubus
Rubus spp.,Rubus,Rosaceae,unknown,shrub,Shrub,NO,NA,NA,Shrub,Terrestrial,Rubus
Senecio biserratus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial,Senecio
Senecio campylocarpus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial,Senecio
Senecio glomeratus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial,Senecio
Senecio hispidulus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial,Senecio
Senecio minimus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial,Senecio
Senecio quadridentatus,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tdr,KM,Terrestrial,Terrestrial,Senecio
Senecio runcinifolius,Senecio,Asteraceae,native,forb,Terrestrial,NO,Tda,KM,Terrestrial,Terrestrial,Senecio
Senecio spp.,Senecio,Asteraceae,unknown,forb,Terrestrial,NO,NA,NA,Terrestrial,Terrestrial,Senecio
Typha domingensis,Typha,Typhaceae,native,sedge/rush,Emergent,YES,Se,Casanova 2011,Emergent,Emergent,Typha
Typha latifolia,Typha,Typhaceae,exotic,sedge/rush,Emergent,YES,Se,KM,Emergent,Emergent,Typha
Typha orientalis,Typha,Typhaceae,exotic,sedge/rush,Emergent,YES,Se,KM,Emergent,Emergent,Typha
Typha spp.,Typha,Typhaceae,native,sedge/rush,Emergent,YES,Se,Casanova 2011,Emergent,Emergent,Typha
